Row	2	3	1.5	IVF	IVF	10	11
Xelaev18000438m.g	4.84091	4.10667	1.63083	0.0198559422530683	0.976788319739251	-1.37960380655751	0.000494749213849419
Xelaev18000447m.g	14.8818	24.3633	20.7742	-0.754637974748719	0.000389442213754499	0.164519350566491	0.381684909381472
Xelaev18000448m.g	0.727273	1.23	1.02083	-0.818377624874439	0.0211686810196973	NA	NA
Xelaev18000452m.g	0.119091	0.206667	0.168333	NA	NA	NA	NA
Xelaev18000454m.g	4.24545	4.61667	8.6875	-0.0942594383158526	0.685919389074244	0.78805856559341	0.00271681390298518
Xelaev18000458m.g	0.00727273	0.0833333	0.005	NA	NA	NA	NA
Xelaev18000465m.g	0.00181818	10.8667	0.00916667	-10.6107579693678	2.73090422534938e-97	NA	NA
Xelaev18000469m.g	1.19364	5.93	0.753333	-2.13272728461973	4.4570587474062e-06	NA	NA
Xelaev18000475m.g	0.0554545	0.1	0.0975	NA	NA	NA	NA
Xelaev18000477m.g	0.0581818	1.95667	0.09	-4.91172399638354	4.50029804518959e-15	NA	NA
Xelaev18000492m.g	0.150909	0.0266667	0.441667	NA	NA	NA	NA
Xelaev18000493m.g	0.174545	0	0.6925	NA	NA	NA	NA
Xelaev18000494m.g	25.9545	1.97667	31.6742	3.57412858504332	4.31680662047151e-34	0.0972252104911319	0.613998426733051
Xelaev18000496m.g	19.58	13.4133	20.72	0.573112820187374	0.000503462088742172	-0.0996416766686695	0.374965181538017
Xelaev18000497m.g	52.7127	61.1967	56.3858	-0.192794441554882	0.146484891410206	-0.100294429296367	0.311265907243819
Xelaev18000500m.g	0.411818	0.0366667	0.779167	NA	NA	0.771490462108287	0.00704891144616972
Xelaev18000501m.g	0.283636	0.1	0.235	NA	NA	NA	NA
Xelaev18000502m.g	1.37727	0.306667	11.6433	2.00382112778009	9.8324889590635e-07	2.8574843214025	2.31006069589168e-24
Xelaev18000507m.g	21.47	2.51667	25.5225	3.12586255576868	2.29113137486544e-34	0.0888805208433993	0.508318770493097
Xelaev18000515m.g	1.09727	0.67	1.135	0.64688480373192	0.0751440637017928	-0.138089859119702	0.546867290883164
Xelaev18000522m.g	19.0627	32.92	18.6708	-0.777551227832431	5.90659788284742e-06	-0.167925992157581	0.268263074157032
Xelaev18000526m.g	0	0.0766667	0.025	NA	NA	NA	NA
Xelaev18000537m.g	0.00636364	0.0633333	0.0483333	NA	NA	NA	NA
Xelaev18000538m.g	1.32727	0.686667	1.25583	NA	NA	NA	NA
Xelaev18000539m.g	1.68364	1.42	1.38	NA	NA	NA	NA
Xelaev18000546m.g	0.00272727	0.0133333	0.0241667	NA	NA	NA	NA
Xelaev18000554m.g	3.04364	2.51667	3.26917	0.306518930990067	0.377630372322569	-0.293689737869862	0.448626941726313
Xelaev18000555m.g	1.77273	7.77333	3.30583	-2.12844898458471	1.16022227024702e-15	0.765593313306016	0.0116103120775381
Xelaev18000561m.g	0.0272727	0.133333	0.045	NA	NA	NA	NA
Xelaev18000562m.g	71.1318	78.1433	98.2192	-0.101655821176369	0.432046158469998	0.294304866890643	0.00383598879408104
Xelaev18000563m.g	0.249091	2.51333	0.340833	-3.30598920199164	2.60017516416575e-23	NA	NA
Xelaev18000564m.g	188.963	22.11	92.2933	3.17227068705434	5.57650388609214e-13	-1.13519145594467	0.000962210970930083
Xelaev18000565m.g	0.01	0	0.005	NA	NA	NA	NA
Xelaev18000568m.g	0	0	0	NA	NA	NA	NA
Xelaev18000569m.g	0	0	0.0116667	NA	NA	NA	NA
Xelaev18000570m.g	0.0154545	0	0	NA	NA	NA	NA
Xelaev18000572m.g	49.81	27.6533	48.5533	0.867437501231518	1.31624903336305e-09	-0.233872544078293	0.0299062529463702
Xelaev18000573m.g	5.01545	22.7133	6.70083	-2.14389455623063	2.62125654815082e-36	0.256825773788693	0.158811679651709
Xelaev18000575m.g	13.2145	2.39	16.1617	2.45097100926948	1.59546157943126e-24	0.116352364044646	0.345947711527128
Xelaev18000578m.g	28.1709	52.4467	34.8892	-0.868083716608619	3.77293209322534e-09	0.144200786484537	0.211195508254338
Xelaev18000579m.g	0.117273	0.07	0.0208333	NA	NA	NA	NA
Xelaev18000581m.g	0.0427273	0.00666667	0.0583333	NA	NA	NA	NA
Xelaev18000583m.g	0.0181818	0.05	0.0208333	NA	NA	NA	NA
Xelaev18000586m.g	0.0890909	0.11	0.13	NA	NA	NA	NA
Xelaev18000587m.g	20.4209	36.1	27.635	-0.80619386877445	4.39984998186613e-08	0.2545949929463	0.0522077085593166
Xelaev18000588m.g	0.163636	0.05	0.138333	NA	NA	NA	NA
Xelaev18000590m.g	57.9736	108.803	40.1908	-0.857901712609947	2.71394551778268e-08	-0.619901789164627	0.000386546264444822
Xelaev18000591m.g	28.92	9.74	32.5983	1.59512383614262	1.86261102701854e-19	-0.0217110925197344	0.843767742414007
Xelaev18000594m.g	0.00363636	0.346667	0.0625	NA	NA	NA	NA
Xelaev18000595m.g	0.0136364	0.02	0.0316667	NA	NA	NA	NA
Xelaev18000596m.g	0.00272727	0	0.00916667	NA	NA	NA	NA
Xelaev18000597m.g	0.01	0.0633333	0.0075	NA	NA	NA	NA
Xelaev18000598m.g	0.0163636	0.0133333	0.0208333	NA	NA	NA	NA
Xelaev18000599m.g	0.03	0.0333333	0.0433333	NA	NA	NA	NA
Xelaev18000600m.g	4.13	33.3667	6.23083	-2.98249085388761	1.22147054759519e-59	0.447169308486494	0.0209572384145872
Xelaev18000612m.g	0.0509091	0.0333333	0.103333	NA	NA	NA	NA
Xelaev18000620m.g	23.8364	170.183	25.9417	-3.39675745121818	4.53080514295786e-28	0.743958163222242	0.222849796149579
Xelaev18000625m.g	0.0918182	0	0.0775	NA	NA	NA	NA
Xelaev18000626m.g	5.86545	4.97333	7.44917	0.20587431732768	0.253865210252273	0.143172437561367	0.272421001772441
Xelaev18000627m.g	0.286364	0.363333	0.281667	-0.265969617785461	0.416175757400155	-0.362277891987854	0.168901504808807
Xelaev18000628m.g	2.14636	0.89	2.76917	1.38359173098787	0.00661104417379954	0.158991888350536	0.584655418719702
Xelaev18000630m.g	0.339091	0.43	0.729167	-0.341884321968537	0.456196712163359	0.830987437762973	0.0149685841671295
Xelaev18000636m.g	0.00181818	0.00333333	0.00416667	NA	NA	NA	NA
Xelaev18000639m.g	0.0381818	0.266667	0.0708333	NA	NA	NA	NA
Xelaev18000640m.g	0.0272727	0.0933333	0.0491667	NA	NA	NA	NA
Xelaev18000641m.g	0.104545	0	0.0133333	NA	NA	NA	NA
Xelaev18000643m.g	0.628182	1.04333	0.713333	-0.705032036508808	0.00814257840596328	0.0483496116759852	0.845834566704104
Xelaev18000644m.g	0.000909091	0.206667	0.00333333	NA	NA	NA	NA
Xelaev18000647m.g	0.0236364	0.176667	0.0566667	NA	NA	NA	NA
Xelaev18000648m.g	0.572727	12.5667	0.0241667	-5.91722213019716	8.62788936750811e-16	NA	NA
Xelaev18000649m.g	0	0	0.0125	NA	NA	NA	NA
Xelaev18000650m.g	5.76545	3.43	7.54417	0.773288188198502	0.0553661097448872	0.181760080976592	0.475625230105905
Xelaev18000652m.g	0.146364	0.173333	0.195	NA	NA	NA	NA
Xelaev18000654m.g	0	0	0	NA	NA	NA	NA
Xelaev18000656m.g	0	0.24	0.00333333	NA	NA	NA	NA
Xelaev18000657m.g	0.237273	0.0666667	0.208333	NA	NA	NA	NA
Xelaev18000658m.g	0.03	0.00666667	0.015	NA	NA	NA	NA
Xelaev18000659m.g	0.213636	0	0.0625	NA	NA	NA	NA
Xelaev18000661m.g	1.12273	0.313333	1.99917	NA	NA	NA	NA
Xelaev18000662m.g	0.521818	0	0.204167	NA	NA	NA	NA
Xelaev18000663m.g	0.02	0.0566667	0.055	NA	NA	NA	NA
Xelaev18000664m.g	0.0118182	0	0	NA	NA	NA	NA
Xelaev18000665m.g	2.90364	3.06667	4.20333	-1.04834729820454	0.155035000009849	1.06839742439806	0.0968843919160075
Xelaev18000666m.g	0.0418182	1.43333	0.335	-5.09566100368141	2.59928484331834e-37	NA	NA
Xelaev18000667m.g	1.08273	0.353333	0.983333	1.67541550923597	6.7154211666459e-05	-0.402514176312228	0.313978631200339
Xelaev18000668m.g	11.8036	4.91667	10.495	1.2840022413984	2.73775056935096e-09	-0.328056339298846	0.0464342286279552
Xelaev18000669m.g	0.139091	0.21	0.166667	NA	NA	NA	NA
Xelaev18000670m.g	0	0.0566667	0.00833333	NA	NA	NA	NA
Xelaev18000671m.g	0	0.0633333	0	NA	NA	NA	NA
Xelaev18000672m.g	0.0863636	0.133333	0.175	NA	NA	NA	NA
Xelaev18000673m.g	13.4427	5.76333	14.5317	1.16147154305796	2.61486359356936e-12	-0.0704625197472732	0.57084547936834
Xelaev18000682m.g	1.92636	0.88	1.76417	1.13364367631354	2.4821435471423e-05	-0.217932649480092	0.297969137833329
Xelaev18000683m.g	0.201818	0.0233333	0.1825	NA	NA	NA	NA
Xelaev18000684m.g	0	0.00666667	0	NA	NA	NA	NA
Xelaev18000685m.g	0.331818	0.09	0.496667	NA	NA	0.581522662645824	0.095003148703849
Xelaev18000692m.g	0.09	0	0.101667	NA	NA	NA	NA
Xelaev18000696m.g	0.0690909	0	0.101667	NA	NA	NA	NA
Xelaev18000704m.g	0.0190909	0.0766667	0.0216667	NA	NA	NA	NA
Xelaev18000712m.g	1.95818	3.81333	3.18	-0.974997033960506	0.0436266557179009	NA	NA
Xelaev18000723m.g	68.1227	0.0233333	77.5742	11.0425574912196	8.49043434006589e-130	0.0409183599490414	0.883905626381586
Xelaev18000724m.g	156.692	14.0233	124.115	3.43322127574242	7.13984214952941e-50	-0.679453175825946	1.19799118526089e-05
Xelaev18000725m.g	374.57	12.0233	278.784	4.96953042176311	1.81924229948901e-81	-0.762625938349664	3.22706095647778e-06
Xelaev18000726m.g	76.2255	6.32	71.6875	3.56813703278889	3.62538039557137e-70	-0.413741135376106	0.00337120767246272
Xelaev18000727m.g	3.36	4.94	3.45583	-0.5288210172539	0.000512387549934843	-0.170084080077935	0.168647269862079
Xelaev18000728m.g	5.85818	6.47333	5.97167	-0.112600965457366	0.632853114027739	-0.137097982456892	0.499336449526072
Xelaev18000730m.g	470.102	167.59	323.472	1.5330160410935	1.43170765670561e-15	-0.630246632241948	2.21241567073021e-05
Xelaev18000731m.g	4.60909	2.37667	5.44	0.85816537065093	0.00385493324222659	0.0198893613234399	0.924251226357899
Xelaev18000732m.g	0.0854545	0.323333	0.0808333	NA	NA	NA	NA
Xelaev18000733m.g	0.0154545	0.01	0.0166667	NA	NA	NA	NA
Xelaev18000735m.g	130.729	32.5233	133.864	2.03580873270838	4.5895727550754e-37	-0.149784477141849	0.208158716627694
Xelaev18000736m.g	0.133636	0.653333	0.163333	-2.26603777927021	2.24883965304526e-07	NA	NA
Xelaev18000741m.g	100.332	52.0067	90.755	0.980990464551362	3.29780240804948e-10	-0.30162317346604	0.0169954673124868
Xelaev18000742m.g	34.4636	29.8667	30.1125	0.233081345815709	0.144255472728448	-0.397178471272101	0.0012745921716142
Xelaev18000743m.g	35.8609	20.29	27.3433	0.846324941388515	8.58477590635918e-07	-0.60170783439995	4.19755717587493e-05
Xelaev18000744m.g	0.177273	0.1	0.2	NA	NA	NA	NA
Xelaev18000745m.g	148.621	75.0867	128.832	1.03401482778293	3.60360826443611e-08	-0.340772986280651	0.0169598617611898
Xelaev18000746m.g	1.49727	4.1	1.91917	-1.43242755395501	6.49965098898471e-10	0.164900912638567	0.386208950853525
Xelaev18000747m.g	1.20455	1.51667	1.48333	-0.316865759170202	0.280706837270144	0.122000916429643	0.620121553189021
Xelaev18000753m.g	0.00545455	0.373333	0.025	NA	NA	NA	NA
Xelaev18000754m.g	0.16	1.46667	0.265	-3.02950679720035	1.89625625588267e-11	NA	NA
Xelaev18000755m.g	10.1955	5.33	15.1008	0.967640389843451	6.64455721055704e-05	0.399219195998934	0.0126643865226524
Xelaev18000758m.g	17.1282	5.71	18.1575	1.60457430440208	2.41963923616763e-18	-0.114785668375621	0.403322000540698
Xelaev18000759m.g	11.2673	5.29667	14.4892	0.971306747730187	1.17528234896663e-06	0.120938007155362	0.463027852568784
Xelaev18000760m.g	1.07455	11.31	1.91417	-3.39497958750405	1.79806864991288e-62	0.543844288871325	0.0018775673585313
Xelaev18000762m.g	0.110909	0.143333	0.149167	NA	NA	NA	NA
Xelaev18000763m.g	39.9809	20.2533	33.8133	1.01184904610155	1.6668851375615e-12	-0.400104485260222	0.000199200181865059
Xelaev18000764m.g	35.1518	54.64	39.6367	-0.614213189691633	4.33536340620634e-06	-0.0114185245437043	0.920988432157281
Xelaev18000766m.g	0.00363636	3.46	0.0125	-9.30500051657568	5.3346818211956e-66	NA	NA
Xelaev18000767m.g	0.0354545	0.123333	0.0283333	NA	NA	NA	NA
Xelaev18000771m.g	53.9518	0.0833333	64.8967	9.35130906200949	6.67476150829075e-97	0.114725295144899	0.69136366374921
Xelaev18000772m.g	56.0082	33.3433	41.1375	0.759798440823731	2.37042526347695e-05	-0.641146134364344	1.37501134086982e-06
Xelaev18000773m.g	4.79182	11.8967	5.44167	-1.27749302017812	1.08656100044351e-08	0.0523522389132513	0.765707983812772
Xelaev18000774m.g	145.001	532.653	124.138	-1.86144582470233	1.52536029040682e-33	-0.360480683377238	0.0035730634590579
